MWC 428	26.325104	61.115692	-5.05	1.57	2.00	8.602	0.196	0.209	 ... 	 ... 	Saturated	
GG 102	26.648041	61.263290	-4.64	-0.74	2.02	8.880	0.132	0.236	 ... 	 ... 	Saturated	
MWC 700	26.612782	61.167202	-5.76	1.39	2.00	8.987	0.144	0.015	 ... 	 ... 	Saturated	
VES 619	26.611837	61.128258	-5.26	2.14	2.00	9.229	0.221	0.337	 ... 	 ... 	Saturated	
BG 15	26.615303	61.207062	-6.65	4.92	2.00	9.251	0.201	0.148	 ... 	 ... 	Saturated	
MWC 698	26.497110	61.212685	-3.69	-6.16	2.89	9.425	0.148	0.109	 ... 	 ... 	Saturated	
VES 616	26.525537	61.227573	-2.48	-5.76	2.00	9.645	0.234	0.368	 ... 	 ... 	Saturated	
GG 110	27.096041	61.264717	-2.96	-3.82	2.00	9.704	0.168	0.149	 ... 	 ... 	Saturated	
GG 104	26.750830	61.356567	-2.56	-1.37	2.00	9.899	0.200	0.213	 ... 	 ... 	 ... 	
GG 90	26.326494	60.969196	-4.48	2.90	2.00	10.255	0.226	0.278	 ... 	 ... 	 ... 	
GC 97	26.483740	61.212574	-1.35	4.68	1.50	10.262	0.266	0.321	-27.6	B2V	 ... 	
GG 95	26.443295	61.155804	-1.79	-1.36	2.00	10.321	0.198	0.228	-38.8	B1V	 ... 	
GG 103	26.739870	61.027885	-5.86	0.82	2.00	10.359	0.189	0.233	 ... 	 ... 	 ... 	
GG 98	26.584209	61.239319	-6.07	0.02	2.00	10.402	0.213	0.262	 ... 	 ... 	Blended	
GG 108	26.861519	61.145599	-3.74	-6.38	2.00	10.428	0.158	0.033	-11.3	B0-B1V	 ... 	
GG 109	26.914015	61.305721	-3.06	-0.88	2.79	10.734	0.292	0.298	-42.8	B1V	 ... 	
GG 101	26.648338	61.227543	-4.11	2.39	2.00	10.762	0.318	0.318	-54.0	B1V	 ... 	
VES 620	26.627619	61.241455	-7.84	-1.38	2.00	10.824	0.165	0.196	-20.8	B1V	 ... 	
GG 99	26.612082	61.236439	-5.19	1.75	2.00	10.880	0.153	0.101	 ... 	 ... 	 ... 	
GG 94	26.415096	61.216434	-2.40	3.04	2.00	10.923	0.191	0.238	-21.9	B2V	 ... 	
D01 034	26.765589	61.292236	-3.92	0.93	2.00	10.975	0.234	0.207	-11.3	 ... 	 ... 	
GG 93	26.407560	61.133095	0.63	-2.93	2.00	11.102	0.167	0.291	-34.9	B2V	 ... 	
G 32	26.619238	61.230675	-4.15	2.47	2.00	11.338	0.125	0.203	-7.9	B3V	 ... 	
BG 114	26.558376	61.228851	-8.65	0.34	2.00	11.633	0.177	0.288	-10.4	B5V	 ... 	
VES 624	26.748318	61.208199	-5.21	2.70	2.59	12.032	0.227	0.215	-26.8	B5V	 ... 	
L 613	26.645269	61.107712	-0.09	-0.27	2.59	12.126	0.163	0.071	-1.9	B5V	 ... 	
SAN 28	26.508623	61.250595	-16.07	-34.09	3.95	12.388	0.262	0.253	-42.1	B5V	CCDgap	
PKK 1	26.298687	61.173038	11.65	-7.07	3.90	11.864	0.342	0.092	 ... 	 ... 	 ... 	
PKK 2	26.449562	61.273327	-0.43	-2.75	3.90	12.060	0.257	0.064	 ... 	 ... 	 ... 	
PKK 3	26.601690	61.177017	-1.70	-1.61	2.59	12.225	0.166	0.141	-7.3	B5-B7V	 ... 	
PKK 4	26.823006	61.221569	-2.82	0.51	3.90	12.961	0.194	0.148	-6.5	B5-B7V	 ... 	
