v20161021csv_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,missing20161021_oid,col1,col2
1,1.6791718728689954E-4,1635721458409799680,Gaia DR2 511265970556959488,511265970556959488,994498208,2015.5,26.473899433222655,0.02256547670772543,61.32057315260541,0.026981801278344077,0.2412314814628023,0.03832393234550813,6.294539,-1.0308296508324972,0.038293515177808254,-0.5580973673115592,0.054268380996619965,-0.5035723,-0.034469783,-0.6138782,0.3606648,0.09777715,0.35249788,-0.48297662,-0.056201916,0.04097882,-0.6388591,436,436,429,7,14.266974,988.75934,0.0,0.0,31,false,305.6429,1.6410121787785137,0.005862665316453161,-0.03609187,50,17,0.041967075,0,57,false,458,2031571.0747407256,648.022646503822,3135.031,9.918786,53,1178409.9299956933,629.0639757822111,1873.2751,10.173147,54,1246917.823748232,610.2987582745444,2043.127,9.5223255,1.1938188,0,0.6508217,0.25436115,0.39646053,,,0,,,,NOT_AVAILABLE,129.4188703457748,-0.863407332898642,51.767229101288336,46.03997166482548,100001,6394.5,6277.3975,6516.0,1.354,0.9813,1.6051,0.691,0.4807,0.7941,200111,29.954016,28.84736,31.082003,1351.5471,1033.5859,1669.5083,http://geadata.esac.esa.int/data-server/datalink/links?ID=511265970556959488,,2,26.47386,61.32074
2,1.2607619248343425E-4,1635721458409799680,Gaia DR2 511265901837482368,511265901837482368,310163383,2015.5,26.508777059166576,0.02100525844910725,61.32046651031952,0.024639570910573845,0.3831790239649328,0.03252652408968847,11.780509,-1.0130311494804172,0.034378761707048684,1.3296754678717109,0.048636964263709434,-0.49892697,0.008024779,-0.63246614,0.37147164,-0.0075348224,0.3616773,-0.44430962,-0.021718942,0.031244406,-0.5837442,451,451,443,8,13.160889,953.28973,0.0,2.69615159965752E-15,31,false,310.71405,1.3391214462487568,0.005332710272543176,-0.02691822,51,19,0.039290413,0,54,false,470,224774.38740746974,53.29872259788629,4217.2563,12.308999,52,54415.22989195966,116.97333928163042,465.19345,13.512087,52,259004.86331724664,192.81969969472146,1343.249,11.22865,1.3943764,0,2.2834368,1.2030878,1.080349,-60.571670819639614,0.6002210116495273,21,5000.0,3.0,0.0,NOT_AVAILABLE,129.43526022839575,-0.8600003116345112,51.78784937662588,46.031296340642605,100001,4075.095,3774.98,4190.3647,1.4907,1.1779,1.795,0.6843,0.562,0.8731,200111,19.686506,18.618319,22.94113,96.29038,83.53987,109.04089,http://geadata.esac.esa.int/data-server/datalink/links?ID=511265901837482368,,3,26.50883,61.32059
5,6.739289681315958E-5,1635721458409799680,Gaia DR2 511265141615069440,511265141615069440,1550196721,2015.5,26.52138329855163,0.03268518384868928,61.30763495142306,0.04142382340555832,0.3089258302784107,0.055973793521421705,5.5191154,-1.0579837962690286,0.05172413415120531,-0.20578762999517347,0.08045384944468453,0.059751157,0.008197869,-0.6025945,-0.04390683,0.038134407,-0.070769764,-0.42693675,0.11076206,-0.08148654,-0.30943877,211,211,209,2,3.8444142,291.07733,0.0,0.0,31,false,271.44284,1.589841296017957,0.0093243524689036,-0.040994056,25,12,0.050152853,0,26,true,197,1163752.993351995,274.7040569848928,4236.388,10.523714,24,592568.3133307392,577.3947504818179,1026.2793,10.919542,24,830279.0153663077,655.3892172713256,1266.8488,9.96386,1.2226369,0,0.95568275,0.39582825,0.5598545,,,0,,,,NOT_AVAILABLE,129.44387358791326,-0.8712738066927355,51.78585890532839,46.017177043846104,100001,5361.6665,5284.75,5454.0,,,,,,,200111,25.921017,25.050787,26.68104,500.2625,379.1239,621.4011,http://geadata.esac.esa.int/data-server/datalink/links?ID=511265141615069440,,7,26.52142,61.3077
6,9.765299466522496E-5,1635721458409799680,Gaia DR2 511266314154346240,511266314154346240,976933926,2015.5,26.61589961468247,0.013417007760515732,61.30392754380624,0.015256684258624904,0.320158451737262,0.021810801092623698,14.678895,-1.026654263530097,0.02190878125600741,-0.29791069590378394,0.02986858987280928,-0.4860555,0.18783782,-0.53482497,0.28944847,-0.072493084,0.25974825,-0.28933528,-0.124256566,0.11630339,-0.5939742,440,0,437,3,-8.094544,234.63387,0.0,0.0,31,false,67.347275,1.5672157932014084,0.003640509621719338,-0.031368043,50,20,0.040570512,0,53,false,464,52163.880303775884,9.231868375532319,5650.414,13.894941,51,25877.98811242717,27.927873475365242,926.6007,14.319062,50,38915.30899179035,28.131793195487308,1383.3213,13.286619,1.2421104,0,1.032443,0.4241209,0.60832214,,,0,,,,NOT_AVAILABLE,129.48902025678638,-0.8653249534093659,51.83923750907805,45.99074938631499,100001,5186.875,5045.1,5445.0,,,,,,,200111,5.7309704,5.200486,6.057594,21.417767,17.556803,25.27873,http://geadata.esac.esa.int/data-server/datalink/links?ID=511266314154346240,,8,26.61589,61.30383
7,2.2970771357190138E-4,1635721458409799680,Gaia DR2 511219413109065088,511219413109065088,853809616,2015.5,26.65612787574508,0.013500506857116604,61.29999683537797,0.015702336729356687,0.3416348185128273,0.023108099199285442,14.784203,-2.895885216438212,0.02262828228082819,-0.5348766258653068,0.0316937168606725,-0.39081275,0.03916094,-0.49761516,0.21670684,5.198393E-4,0.18440436,-0.22703034,-0.06358613,0.04275588,-0.52654546,477,0,477,0,3.3286471,581.06964,0.08256589786423828,2.0100760416877756,31,false,38.83926,1.3661497151841562,0.0037420566107034393,-0.032696515,54,20,0.04059922,0,59,false,504,42080.18204202214,7.967259123697769,5281.6387,14.128172,54,11804.330326776724,31.80022037367604,371.2028,15.171285,53,45768.91050163153,40.76317572871546,1122.8004,13.110494,1.3681794,1,2.060791,1.0431128,1.0176783,-50.65630426214934,2.681483186565624,9,4500.0,3.0,0.0,NOT_AVAILABLE,129.50873408207732,-0.8650718021507069,51.860227933276136,45.97748749729433,100002,4065.38,3646.0,4633.29,1.6205,1.3472,1.7921,0.784,0.673,0.863,200111,9.628873,7.4130807,11.971385,22.816559,18.801792,26.831326,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219413109065088,,10,26.65597,61.29978
8,1.408136242230921E-5,1635721458409799680,Gaia DR2 511219413109066624,511219413109066624,493912651,2015.5,26.65450576863014,0.015069469296875965,61.29870812827671,0.01767221383504245,0.3341814895296799,0.025466517570409755,13.122387,-1.1881342421485548,0.025234748545156508,-0.20975971536197194,0.035613084629057504,-0.39269584,0.05994556,-0.50314313,0.21284491,-0.0090649435,0.18129598,-0.23735128,-0.03587465,0.039519034,-0.53556055,493,0,492,1,-6.000832,322.19464,0.0,0.0,31,false,26.21343,1.5590217832093458,0.004253366408418564,-0.017947592,56,20,0.044408616,0,60,false,512,21196.872358549652,4.442606912315122,4771.269,14.872686,57,10412.534027687847,16.579399113467403,628.04047,15.307497,53,16088.69165492744,15.212612799227033,1057.589,14.245618,1.2502422,0,1.0618792,0.43481064,0.6270685,,,0,,,,NOT_AVAILABLE,129.5082463183262,-0.8664964888900206,51.85831614138258,45.9767786690818,100001,5101.88,5004.79,5297.35,,,,,,,200111,3.6447854,3.3807657,3.7875702,8.108855,6.544754,9.672956,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219413109066624,,11,26.65449,61.29872
9,1.7993338122421248E-4,1635721458409799680,Gaia DR2 511219413109069312,511219413109069312,439946263,2015.5,26.657797294973815,0.01155159747473758,61.29508741437294,0.013616479699611894,0.3170974323379467,0.019793632044664475,16.020174,-1.0172319786930537,0.01900037347600929,0.12144362549582073,0.02729250876078445,-0.3977327,0.02640524,-0.52362967,0.20756085,0.04342445,0.17657553,-0.22697787,-0.063577905,0.06702837,-0.5328779,495,0,494,1,-7.7097626,284.8834,0.0,0.0,31,false,68.93274,1.5785446144236142,0.0030379694759388887,-0.030583022,56,20,0.036494806,0,60,false,520,54074.91371776509,8.668009599240516,6238.4463,13.855876,59,27796.776591694637,30.84091316770873,901.29553,14.241402,57,38989.5023012754,35.039133559325194,1112.7416,13.284551,1.2350695,1,0.956851,0.3855257,0.5713253,,,0,,,,NOT_AVAILABLE,129.5105599392871,-0.8696991381624176,51.857605685258086,45.97285887473923,100002,5223.5,5038.0,5389.0,,,,,,,200111,5.7918386,5.4415584,6.2262034,22.499557,18.67037,26.328745,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219413109069312,,12,26.65766,61.29492
10,2.726345190643276E-4,1635721458409799680,Gaia DR2 511265626959458176,511265626959458176,488175516,2015.5,26.38478603428753,0.01872636823192795,61.29429737976997,0.022157026064647537,0.9963037614025503,0.031218942270827003,31.913437,-0.23048860059845683,0.0326186141674117,0.8537610953312076,0.04614332885044813,-0.37759626,-0.04448512,-0.60080373,0.30458108,0.01964969,0.25779465,-0.3695258,0.08922758,-0.07796959,-0.56514704,448,367,435,13,4.0714474,559.99493,0.0,0.0,31,true,189.3615,1.4665190291423478,0.004845913483120959,-0.03778767,51,18,0.03892128,0,55,false,429,136968.31777127046,27.277070910949664,5021.372,12.846815,51,53356.33393713772,66.90180004049824,797.5321,13.533423,48,122186.25605670211,66.42236007818589,1839.535,12.044364,1.2816292,1,1.4890594,0.6866083,0.80245113,-29.720512029793316,4.178403171325141,15,6000.0,3.5,0.0,NOT_AVAILABLE,129.38251279722286,-0.898038889997288,51.69490423195929,46.03937345167554,100002,4459.5,4313.0,4768.75,,,,,,,200111,4.4677763,3.9071012,4.776446,7.1124997,6.739701,7.4852986,http://geadata.esac.esa.int/data-server/datalink/links?ID=511265626959458176,,13,26.38449,61.29453
11,1.4989406878744097E-4,1635721458409799680,Gaia DR2 511219413109070592,511219413109070592,91757594,2015.5,26.650206190654387,0.013403282391327907,61.29415911757438,0.01563348852135751,0.2946417629727541,0.022097404741089757,13.333773,-1.0909891477186,0.02278525254303351,-0.25776344244332183,0.03142499138933014,-0.44655004,0.11574816,-0.494154,0.24401028,-0.037343163,0.22060141,-0.27454287,-0.024781862,0.023277655,-0.5752786,476,9,474,2,-7.5949287,272.26367,0.0,0.0,31,false,45.856995,1.5831060279857134,0.0035026511315295787,-0.0016857289,54,20,0.04120904,0,59,false,500,36339.59770461964,7.94899774262575,4571.5947,14.2874155,51,18643.710252745237,26.190218167304966,711.8578,14.675057,49,26206.81254660248,23.500963998979408,1115.1378,13.715884,1.2342052,0,0.9591732,0.3876419,0.5715313,,,0,,,,NOT_AVAILABLE,129.50719357617842,-0.8713801026926966,51.85241457208848,45.973926264808924,100001,5330.9937,5030.3335,5405.0,,,,,,,200111,4.867701,4.735315,5.46697,17.241507,13.868848,20.614166,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219413109070592,,14,26.65009,61.29402
12,2.0023318441011743E-4,1635721458409799680,Gaia DR2 511219340083826816,511219340083826816,1468824874,2015.5,26.674444350973253,0.017193352113490646,61.28716172273743,0.020523144261187544,0.2965244750910052,0.029043057121779913,10.209823,-0.951835614285125,0.028611113753119442,-0.2993589533015377,0.04090449550985635,-0.40646884,0.08372656,-0.5208008,0.25218832,-0.06762195,0.23101673,-0.3099563,-0.05589766,0.08087731,-0.5246084,465,403,454,11,2.9516633,542.63007,0.0,0.0,31,false,201.67178,1.6133718793083742,0.004737056046684978,-0.0109501,53,20,0.03420427,0,56,true,490,143689.20534885707,99.01474941548793,1451.19,12.794806,56,77063.57530372369,154.4234109420533,499.04074,13.134265,56,99061.59941477535,197.1639090437651,502.4327,12.272157,1.225737,0,0.86210823,0.33945942,0.5226488,,,0,,,,NOT_AVAILABLE,129.520058671696,-0.8757453535888848,51.861660544635185,45.96195849290713,100001,5756.25,5429.99,6298.527,,,,,,,200111,8.082864,6.7509766,9.083359,64.62251,53.94239,75.302635,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219340083826816,,15,26.67423,61.28699
