dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,r20161219r_oid,col1,col2
3.13E-04,1.63572E+18,Gaia DR2 511219962864843904,5.1122E+17,794520045,2015.5,26.6987858,0.021453831,61.33582142,0.024510713,0.311774311,0.035869888,8.691812,-1.11646076,0.037575579,-0.239590614,0.050612399,-0.36465433,0.08086586,-0.41748124,0.16453628,-0.025202928,0.15277722,-0.25083908,-0.08521775,0.045572627,-0.5019135,500,500,457,43,22.494213,1520.2358,0.108951684,6.367646316,31,FALSE,61.270504,1.542837002,0.006416074,-0.005348451,56,20,0.0376195,0,62,FALSE,473,600112.9224,344.2771009,1743.1102,11.242784,56,285269.016,273.4225293,1043.3267,11.713252,56,454490.7828,249.8998579,1818.6917,10.618107,1.232701,1,1.0951452,0.47046852,0.6246767,,,0,,,,NOT_AVAILABLE,129.5211253,-0.825713671,51.91192259,45.99779655,100002,4922.9136,4828,5027.86,,,,,,,200111,22.754723,21.81472,23.658186,273.98492,226.33952,321.63034,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219962864843904,,1,26.69832,61.33604
0.002437613,1.63572E+18,Gaia DR2 511219924204819584,5.1122E+17,155734254,2015.5,26.67946916,0.300843308,61.3337087,0.331001039,0.837958059,0.509619176,1.6442828,-1.577485388,0.649074114,-1.286528164,0.759424138,-0.33609116,0.106905974,-0.14804995,-0.005765169,-0.20422533,-0.006329184,-0.17973216,0.009803768,0.13615142,-0.60289764,386,0,384,2,3.4113746,480.1123,1.274534765,1.737673626,31,FALSE,0.06504375,1.383669078,0.086615549,0.015263277,44,20,0.78950715,0,49,FALSE,419,198.8147822,0.794250851,250.31737,19.942244,20,81.62846006,14.19017256,5.7524643,20.571785,23,295.9523902,9.162476821,32.30048,18.583866,1.8991588,0,1.9879189,0.6295414,1.3583775,,,0,,,,NOT_AVAILABLE,129.51252,-0.829749473,51.89890567,46.00072181,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219924204819584,,2,26.67679,61.33578
2.85E-04,1.63572E+18,Gaia DR2 511219928505106304,5.1122E+17,750944359,2015.5,26.67717354,0.01118539,61.33556258,0.013241046,0.358728547,0.019291444,18.595215,-1.13872214,0.019812691,-0.151477692,0.027395963,-0.38058528,0.10836688,-0.40840042,0.1660437,-0.01580766,0.14185604,-0.21855704,-0.05614587,0.033335593,-0.5442988,470,0,470,0,-9.384054,233.0964,0,0,31,FALSE,68.30052,1.538838401,0.003154889,-0.01756588,53,20,0.03704804,0,57,FALSE,505,52955.13603,11.90936608,4446.5117,13.878595,57,25102.48383,42.82368242,586.18225,14.352097,53,41062.58725,33.19256578,1237.1019,13.228304,1.2494552,1,1.1237926,0.4735012,0.65029144,,,0,,,,NOT_AVAILABLE,129.5110497,-0.828172086,51.89890923,46.00287808,100002,5040.44,4865.61,5300,2.5703,2.1895,2.774,1.3087,1.1403,1.4091,200111,5.531489,5.0029616,5.936143,17.793139,15.162868,20.42341,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219928505106304,,2,26.67679,61.33578
0.001898633,1.63572E+18,Gaia DR2 511219928498107264,5.1122E+17,103315815,2015.5,26.68071612,1.399464268,61.33602114,1.31302111,-2.578278317,1.743619786,-1.478693,-6.737828586,2.673770637,-0.624209992,2.639214944,-0.5498188,-0.036200456,-0.682337,0.45026386,0.0256061,0.45294845,-0.7163129,0.3620923,-0.12834947,-0.6253805,148,0,147,1,2.0686343,179.01279,1.223782211,0.213952253,31,FALSE,0.018876357,1.323429846,0.320131142,-0.07479811,18,11,3.2578142,0,20,FALSE,169,80.95203912,0.962843791,84.07598,20.917797,12,79.84898352,10.97330178,7.27666,20.595715,12,202.5775448,11.82351054,17.133451,18.995441,3.488813,0,1.6002731,-0.32208252,1.9223557,,,0,,,,NOT_AVAILABLE,129.5126128,-0.827362726,51.90134885,46.00240257,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219928498107264,,2,26.67679,61.33578
0.00188748,1.63572E+18,Gaia DR2 511219928505105152,5.1122E+17,1345899592,2015.5,26.68022538,0.02699037,61.33670043,0.031787155,0.321656441,0.046829076,6.8687334,-1.154067869,0.047495052,-0.177822018,0.065803245,-0.38655347,0.09257903,-0.4075367,0.19001415,-0.050697144,0.1591288,-0.18187311,-0.103314914,0.08073839,-0.5235937,473,0,472,1,-0.08412271,463.7699,0,0,31,FALSE,6.5546203,1.490229569,0.007852301,-0.023817765,53,20,0.07153879,0,58,FALSE,505,5824.264687,2.445562947,2381.564,16.275263,50,2425.764009,9.054727022,267.9003,16.889267,48,5141.86491,8.123173397,632.98724,15.484118,1.2993277,0,1.4051485,0.61400414,0.7911444,,,0,,,,NOT_AVAILABLE,129.5122383,-0.826749016,51.90155808,46.00310665,100001,4596.9595,4428.473,5059,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219928505105152,,2,26.67679,61.33578
0.002061329,1.63572E+18,Gaia DR2 511219928505105408,5.1122E+17,508743054,2015.5,26.67302441,0.04881317,61.33677328,0.056149815,0.381046197,0.084639669,4.5019813,-1.027547712,0.084507409,-0.321516865,0.115829656,-0.397721,0.025541259,-0.44248092,0.20350021,-0.006028527,0.16425343,-0.18349789,-0.080883354,0.098665856,-0.5513212,480,0,477,3,1.080834,505.29507,0,0,31,FALSE,2.076372,1.422144369,0.014191416,-0.046406843,54,20,0.119354784,0,58,FALSE,509,2175.306336,1.678675187,1295.847,17.344564,56,785.3614464,8.705144666,90.21808,18.113714,53,2171.028681,6.316680386,343.69772,16.420256,1.3590684,0,1.6934586,0.7691498,0.9243088,,,0,,,,NOT_AVAILABLE,129.5088474,-0.827412067,51.89733947,46.00493668,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219928505105408,,2,26.67679,61.33578
0.001036275,1.63572E+18,Gaia DR2 511268719336132352,5.11269E+17,714409197,2015.5,26.32822523,0.304532287,61.32724538,0.4093857,-1.528094221,0.508372526,-3.0058553,-2.870445467,0.630401645,1.920048582,0.935678992,-0.24581638,-0.13400266,-0.48670536,0.21837427,0.24113443,0.30223778,-0.582556,0.20917602,-0.19089717,-0.590994,333,0,332,1,3.499436,424.1115,0.967076192,1.04201684,31,FALSE,0.074061446,1.218079806,0.08797746,-0.02686648,38,15,0.94452673,0,40,FALSE,349,212.509111,1.006034358,211.23445,19.869923,19,125.5145076,15.21364638,8.250127,20.104652,19,483.6508845,33.60371477,14.39278,18.05059,2.8665378,0,2.054062,0.23472977,1.8193321,,,0,,,,NOT_AVAILABLE,129.349104,-0.871450458,51.68572044,46.08158978,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=511268719336132352,,3,26.3261,61.32743
1.08E-04,1.63572E+18,Gaia DR2 511268719335906048,5.11269E+17,233548974,2015.5,26.32610599,0.014906248,61.32732157,0.017339608,0.448820418,0.024184382,18.558275,2.380485916,0.02565262,-1.126325283,0.034778186,-0.39716288,-0.020454722,-0.57536155,0.31748122,0.039480574,0.262052,-0.2799401,-0.012474884,0.097836085,-0.5511276,473,0,471,2,5.682729,661.06366,0.134374349,5.782122013,31,FALSE,31.648256,1.336426571,0.003838101,-0.054097548,54,19,0.04525173,0,57,FALSE,495,59445.27147,11.48123076,5177.6045,13.753073,55,14443.81852,34.55799168,417.95886,14.952183,53,68656.92802,50.64157849,1355.7423,12.670209,1.397937,0,2.2819738,1.19911,1.0828638,,,0,,,,NOT_AVAILABLE,129.3480933,-0.871586713,51.68451941,46.08217777,100001,4029.81,3486,4361.11,2.0533,1.9125,2.3781,1.0012,0.9425,1.1875,200111,8.967929,7.6571517,11.984131,19.108091,16.464294,21.751888,http://geadata.esac.esa.int/data-server/datalink/links?ID=511268719335906048,,3,26.3261,61.32743
0.002601371,1.63572E+18,Gaia DR2 511219889845082624,5.1122E+17,1633794972,2015.5,26.71883578,0.184116471,61.32509865,0.207561605,0.405855535,0.308158282,1.3170359,-0.945813196,0.38086802,-0.70899415,0.477123012,-0.3547833,0.17597413,-0.11797016,0.012522072,-0.111640625,0.030012088,-0.14531524,-0.0665487,0.07207676,-0.60771453,443,0,440,3,1.0870998,467.15967,0.244000902,0.132513654,31,FALSE,0.14402142,1.245473142,0.05508255,0.01550438,50,20,0.48584765,0,54,FALSE,475,298.3540693,0.819659524,363.99756,19.501535,47,103.4823375,6.280107262,16.477798,20.314222,50,390.8756219,5.304224387,73.69138,18.281824,1.6569506,0,2.0323982,0.8126869,1.2197113,,,0,,,,NOT_AVAILABLE,129.5328093,-0.834140812,51.91592655,45.98366266,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219889845082624,,4,26.71356,61.3245
2.82E-04,1.63572E+18,Gaia DR2 511219859785639552,5.1122E+17,629921219,2015.5,26.71399622,0.016523802,61.32431158,0.02033381,2.536449593,0.029305452,86.55214,-6.142648733,0.028217623,-15.03510949,0.040685743,-0.37746996,0.12798944,-0.46937576,0.1990373,-0.08059706,0.18214285,-0.3001988,-0.11284207,0.109825544,-0.52474624,487,487,484,3,3.8905077,609.00714,0,2.59E-15,31,FALSE,353.05896,1.583225575,0.004699479,0.001263335,55,20,0.03232307,0,59,FALSE,502,255919.469,41.01182763,6240.138,12.168107,57,132645.5778,103.3889933,1282.9758,12.544656,56,178699.796,87.95997667,2031.6035,11.63161,1.2165756,1,0.9130459,0.37654877,0.5364971,,,0,,,,NOT_AVAILABLE,129.530708,-0.835404824,51.9124753,45.98417374,100002,5434.6665,5400,5486,0.506,0.3709,0.729,0.23,0.184,0.3466,200111,1.4346604,1.4079373,1.4531398,1.6176499,1.5874486,1.6478512,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219859785639552,,4,26.71356,61.3245
1.89E-04,1.63572E+18,Gaia DR2 511265901837482368,5.11266E+17,310163383,2015.5,26.50877706,0.021005258,61.32046651,0.024639571,0.383179024,0.032526524,11.780509,-1.013031149,0.034378762,1.329675468,0.048636964,-0.49892697,0.008024779,-0.63246614,0.37147164,-0.007534822,0.3616773,-0.44430962,-0.021718942,0.031244406,-0.5837442,451,451,443,8,13.160889,953.28973,0,2.70E-15,31,FALSE,310.71405,1.339121446,0.00533271,-0.02691822,51,19,0.039290413,0,54,FALSE,470,224774.3874,53.2987226,4217.2563,12.308999,52,54415.22989,116.9733393,465.19345,13.512087,52,259004.8633,192.8196997,1343.249,11.22865,1.3943764,0,2.2834368,1.2030878,1.080349,-60.57167082,0.600221012,21,5000,3,0,NOT_AVAILABLE,129.4352602,-0.860000312,51.78784938,46.03129634,100001,4075.095,3774.98,4190.3647,1.4907,1.1779,1.795,0.6843,0.562,0.8731,200111,19.686506,18.618319,22.94113,96.29038,83.53987,109.04089,http://geadata.esac.esa.int/data-server/datalink/links?ID=511265901837482368,,5,26.50862,61.32064
1.64E-04,1.63572E+18,Gaia DR2 511268650616431232,5.11269E+17,1620630084,2015.5,26.35385739,0.020188238,61.31927591,0.020994552,1.043309986,0.029766461,35.04985,3.041855698,0.033975093,-1.559828283,0.042473649,-0.35922405,-0.086721785,-0.66530204,0.290548,-0.0125171,0.24941598,-0.38181797,0.07259055,0.041045092,-0.51247865,469,433,459,10,1.7684315,508.68082,0,0,31,TRUE,213.9722,1.533008492,0.004821332,-0.03651348,53,19,0.03633504,0,59,TRUE,479,152513.1392,31.15112457,4895.911,12.730098,56,69864.12872,51.15489106,1365.737,13.240752,56,121227.1926,75.59620769,1603.6147,12.05292,1.2529498,1,1.1878319,0.51065445,0.6771774,,,0,,,,NOT_AVAILABLE,129.3627916,-0.876694089,51.69502775,46.06843246,100002,4886.4595,4795,4962.08,,,,,,,200111,3.4948637,3.3891542,3.629457,6.2738256,5.979477,6.5681744,http://geadata.esac.esa.int/data-server/datalink/links?ID=511268650616431232,,6,26.35385,61.31944
3.68E-04,1.63572E+18,Gaia DR2 511219511887954816,5.1122E+17,1509876600,2015.5,26.66936248,0.019035659,61.3124287,0.02278957,1.079336591,0.033273001,32.438812,-7.133981504,0.032329243,4.55250942,0.047699209,-0.40338555,0.007075569,-0.4828592,0.24542841,0.039507348,0.21413282,-0.25008106,-0.054177187,3.74E-04,-0.53449726,460,0,458,2,-1.6082759,405.67535,0,0,31,FALSE,15.547397,1.457938924,0.00560108,-0.026660731,52,19,0.055105686,0,57,FALSE,489,12526.57492,14.15533578,884.9366,15.443785,2,7374.208597,19.34364563,381.22125,15.682099,3,25183.55906,7483.124121,3.3653803,13.759128,2.5990958,0,1.9229717,0.23831463,1.6846571,,,0,,,,NOT_AVAILABLE,129.5123038,-0.85157407,51.87723707,45.98491896,102001,5076,4284.4497,6051.5,,,,,,,200111,0.87855303,0.6181376,1.2331648,0.46165457,0.42794225,0.4953669,http://geadata.esac.esa.int/data-server/datalink/links?ID=511219511887954816,,7,26.66988,61.3127
