dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,b20160905_oid,col1,col2
5.006278551602679E-4,1635721458409799680,Gaia DR2 2014636431181369472,2014636431181369472,1405325706,2015.5,343.5948400242532,0.11360111444037257,60.8054090354811,0.10080214059943574,1.0174335478090377,0.14201213895412299,7.1644125,-3.5309680510598858,0.22821559070319622,-1.349130979436548,0.18600313061516177,0.15535809,0.095295854,-0.19927953,-0.14532958,0.28271005,-0.25923738,-0.11531046,-0.42731798,0.16664067,0.14830719,243,0,234,9,53.35888,4316.0,1.0458145033574544,145.99197613921467,31,false,0.83594537,1.281270067763045,0.029159722846866645,0.03970342,27,15,0.21567227,0,37,false,265,15498.140738714268,34.05071040794998,455.14883,15.2126665,11,5224.419341866625,147.51521615646504,35.416138,16.056293,11,21198.00523343089,498.0942185000689,42.558224,13.946182,1.704877,0,2.1101112,0.843627,1.2664843,,,0,,,,NOT_AVAILABLE,109.13438313080594,1.1086904820606598,25.266794131295473,58.84059967664335,102001,3960.0,3620.6667,4422.0127,,,,,,,200111,2.1373305,1.7140446,2.5567305,1.0120894,0.72532976,1.298849,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636431181369472,,1,343.5939,60.80561
1.6730575583594098E-4,1635721458409799680,Gaia DR2 2014636431185098240,2014636431185098240,1537752586,2015.5,343.5938075833402,0.02301570421573404,60.80577111846112,0.020249195156081735,0.24685542946789485,0.023798327367550613,10.372806,-2.838468143965348,0.0458011543183646,-1.7007644003426137,0.0370648007279081,0.0029482977,0.08762612,-0.56598294,-0.050507348,0.21628323,-0.058336604,-0.2284078,-0.086591326,0.1723518,0.054915573,280,280,277,3,10.332029,590.03735,0.0,0.0,31,true,304.1599,1.3674418811248341,0.0055374151699167365,0.030924635,32,18,0.0372737,0,37,false,299,217449.5687807795,79.40619688534453,2738.4458,12.34497,27,58644.7888951441,204.18612131998748,287.2124,13.430815,27,248970.48779472426,709.895778827131,350.71414,11.27155,1.4146512,0,2.1592646,1.085845,1.0734196,,,0,,,,NOT_AVAILABLE,109.13408721942059,1.109235628484122,25.266652872616653,58.84121560950786,100001,3899.2375,3577.6667,4504.98,1.228,0.7673,1.6541,0.598,0.392,0.8221,200111,34.739037,26.025042,41.264576,251.33273,209.14223,293.52325,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636431185098240,,1,343.5939,60.80561
2.1549024676583296E-4,1635721458409799680,Gaia DR2 2014636740422721024,2014636740422721024,328433927,2015.5,343.5474295466888,0.019051998059823827,60.82691759154411,0.02070857946447009,1.8542763116008238,0.02282244716205321,81.24792,13.31297606593898,0.04219506107757734,7.853905762527001,0.041654113515513604,0.082628705,0.043014865,-0.3376168,-0.14183906,0.108833954,-0.15621163,-0.21000865,-0.08383747,0.15583172,0.16375685,288,288,278,10,4.532112,392.3342,0.0,0.0,31,true,293.61493,1.5001962173472718,0.0052931472169552565,0.029814672,33,18,0.03590208,0,37,false,297,1625157.1861695256,631.9093893918181,2571.82,10.161127,34,647945.851559562,508.5116987728159,1274.2004,10.822541,34,1379215.3771295077,1422.5974822100477,969.505,9.41284,1.2473632,1,1.4097013,0.66141415,0.7482872,-19.974234503909223,0.3610471067892652,3,5500.0,4.5,0.0,NOT_AVAILABLE,109.12293638983245,1.1381197454599874,25.267296997814995,58.87217484751363,100002,4564.8,4503.46,4764.0,0.745,0.4583,2.4002,0.329,0.199,1.308,200111,7.7294316,7.0965543,7.941425,23.370974,22.862103,23.879845,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636740422721024,,2,343.5478,60.8268
4.340756788456443E-4,1635721458409799680,Gaia DR2 2014636946581168512,2014636946581168512,442518257,2015.5,343.7016321528993,0.01870336421487137,60.85416963428822,0.021574606435658974,1.6655991484092902,0.022738593559755153,73.24988,-7.633313244316442,0.03744740899223019,-4.696358613273549,0.03965342112235927,-0.122594945,0.27490407,-0.397857,0.174512,0.052556,0.12013626,-0.41237763,-0.24566394,0.17196241,-0.117511556,288,262,285,3,1.2322387,309.47086,0.0,1.7264958933958126E-15,31,true,210.26225,1.598490742833329,0.005193856646559709,0.11079176,33,18,0.034701012,0,36,false,295,143750.15734334209,21.194900733409114,6782.2993,12.794345,32,73852.77239336875,61.50005848639397,1200.8569,13.180471,32,101133.50326388187,62.640162132946585,1614.5154,12.249682,1.2172945,0,0.930789,0.38612652,0.5446625,-24.975606783530125,3.450617274127385,8,6000.0,3.5,0.0,NOT_AVAILABLE,109.20246176256771,1.1299972639155567,25.40421991460701,58.83513022753018,100001,5399.0,5340.0,5493.39,1.0903,0.7906,1.3594,0.509,0.353,0.6763,200111,1.6625698,1.6059265,1.6995112,2.1159616,2.063469,2.1684542,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636946581168512,,3,343.7012,60.85379
2.609462834654201E-4,1635721458409799680,Gaia DR2 2014648766331132672,2014648766331132672,919064500,2015.5,343.5265860672922,0.02087551527381248,60.87045419696825,0.021644299983812183,4.258813032959826,0.025060768795350092,169.93944,15.877224629030621,0.04097667590019482,35.82587272242983,0.03666492689813376,0.016528683,0.14414279,-0.475848,-0.04596066,0.34328726,-0.13912569,-0.124775544,-0.23087838,0.20239909,-0.012175828,282,282,278,4,1.6336083,312.249,0.0,0.0,31,true,402.06396,1.5931510504639497,0.006003887873042289,0.006906953,32,18,0.032567848,0,36,false,292,407268.80913942977,64.14064775760656,6349.621,11.663663,33,209628.78741342737,197.8916897308588,1059.3107,12.047761,32,283308.365755286,148.68107443465487,1905.4769,11.131271,1.2103484,0,0.9164896,0.38409805,0.53239155,-12.909590299358223,0.6803159174384021,11,5500.0,4.5,0.0,NOT_AVAILABLE,109.13278001181394,1.1817278504939495,25.316256300796645,58.90903454560081,100001,5414.0,5348.0,5480.0,0.212,0.0789,0.339,0.1123,0.0523,0.174,200111,1.0874319,1.061396,1.1144377,0.9153178,0.90611523,0.9245203,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014648766331132672,,4,343.5271,60.87038
2.3243048498249234E-4,1635721458409799680,Gaia DR2 2014648835050608000,2014648835050608000,111070123,2015.5,343.52935224304866,0.014406638464035034,60.8766208382772,0.014316924267301924,1.9386887607974368,0.017722121429984784,109.393715,9.929154097521522,0.02690404376005363,-6.200671588127994,0.023928334717362203,0.14069949,0.35237056,-0.49669752,-0.021977372,0.3925398,-0.21811672,-0.120064326,-0.3593312,0.19549593,-0.014136242,267,0,266,1,-5.957345,146.7251,0.0,0.0,31,false,127.88909,1.5497692317029355,0.0039052872940331666,0.02421213,31,18,0.036649674,0,37,false,289,100262.6138196094,21.36312193885017,4693.257,13.185518,34,47455.338116311854,36.78768687239087,1289.9789,13.660675,34,76245.56458547265,49.80242944319372,1530.9607,12.556383,1.2337689,0,1.1042919,0.47515678,0.62913513,,,0,,,,NOT_AVAILABLE,109.1366815491964,1.186690186631787,25.326835580605394,58.912196396324795,100001,4949.35,4876.4,5049.09,0.742,0.2877,1.0191,0.38,0.1807,0.4804,200111,1.4752164,1.4175092,1.5196846,1.1765188,1.1461238,1.2069138,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014648835050608000,,5,343.5298,60.87654
3.3600320674821715E-4,1635721458409799680,Gaia DR2 2014646837885811328,2014646837885811328,363937265,2015.5,343.37569615440907,0.021209279270193254,60.89397740281383,0.021254182490951196,2.7883525440031383,0.02516304220911291,110.811424,17.340243432836793,0.04267350002465227,1.7329222840780156,0.03821574224161684,0.111467674,0.17222184,-0.41839814,-0.11937626,0.19368024,-0.1937837,-0.18433985,-0.3006401,0.13605615,0.07861919,295,295,294,1,15.011169,819.6238,0.0,0.0,31,true,221.26816,1.5786790220821942,0.00615908389774014,0.028868085,34,19,0.034075227,0,38,false,324,166934.95927448708,23.06605829087592,7237.2554,12.631997,37,83641.26846132391,78.46676175256992,1065.9452,13.045337,36,120242.62443414387,75.67301365247931,1588.9763,12.061774,1.2213373,0,0.98356247,0.4133396,0.57022285,,,0,,,,NOT_AVAILABLE,109.07701160022121,1.234979073606614,25.254092707203082,58.97914896314137,100001,5336.0,5304.99,5371.0,0.358,0.2129,0.4987,0.178,0.103,0.2681,200111,1.1000036,1.085714,1.1129011,0.8837842,0.8701788,0.89738953,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014646837885811328,,6,343.3761,60.89425
2.934523863998362E-4,1635721458409799680,Gaia DR2 2014649865842746496,2014649865842746496,452786754,2015.5,343.5093004850991,0.017317231355670776,60.91585552415133,0.018659541267440745,2.3103243579115036,0.02107176609610795,109.640755,14.084042374843648,0.035109212452837775,1.572446487660367,0.03403116374170762,0.02095479,0.15571989,-0.37380096,-0.040909678,0.18262452,-0.1003451,-0.2040741,-0.2333011,0.12347159,0.008041781,309,309,308,1,1.1954838,332.68234,0.0,0.0,31,true,373.80307,1.5695181352402479,0.005210562237884499,0.067579634,35,19,0.02920118,0,39,false,338,274307.71964679763,31.270075371824195,8772.212,12.092771,36,136490.33519486172,143.7882572650711,949.24536,12.513634,36,197844.4676028723,107.58896432046858,1838.8918,11.521111,1.2188312,0,0.9925232,0.42086315,0.57166004,-20.543795910573365,1.2681911944659665,8,5500.0,3.5,0.0,NOT_AVAILABLE,109.14502065063711,1.2262499179459478,25.370291041856774,58.94583411833402,100001,5325.3335,5106.8267,5383.0,1.346,0.9177,1.6648,0.672,0.434,0.8473,200111,1.7098653,1.673427,1.8593163,2.1183891,2.0831566,2.1536217,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014649865842746496,,7,343.5099,60.91589
2.812559237054293E-4,1635721458409799680,Gaia DR2 2014649694044056576,2014649694044056576,1231247570,2015.5,343.5482309422956,0.018552691202544994,60.92379125287777,0.019494710422948584,2.656444912313505,0.022156765166724716,119.89317,10.638325009942475,0.036735313768753525,-1.094991868470803,0.03507007632465275,0.024283396,0.22013347,-0.41947472,-0.029744957,0.20378238,-0.115706034,-0.24970895,-0.26198724,0.15389419,-0.007392993,298,298,294,4,0.77401286,307.3157,0.0,1.6589990690868575E-15,31,true,381.66562,1.6006871827967273,0.0053165751113217865,0.045121245,34,19,0.030302156,0,38,true,324,291604.0999760139,52.12321033940867,5594.515,12.0263815,37,152339.02062897038,155.61633150439332,978.9398,12.394361,36,201466.184633155,159.15775890355965,1265.827,11.501414,1.2133067,0,0.89294624,0.36797905,0.5249672,0.37344824112246755,1.3029793232503026,11,6750.0,4.5,0.0,NOT_AVAILABLE,109.16551357305839,1.2251405081330489,25.406357598702765,58.937187116299235,100001,5661.0,5474.5,6176.3335,0.4672,0.3,0.696,0.245,0.1215,0.3471,200111,1.3333784,1.1201553,1.4257743,1.6450313,1.6204869,1.6695758,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014649694044056576,,8,343.5488,60.92374
3.5306299849400483E-4,1635721458409799680,Gaia DR2 2014649384806420736,2014649384806420736,947514713,2015.5,343.65694931889595,0.031436574185688855,60.92845538792312,0.03312758791319837,2.038523493503122,0.03844437090744059,53.02528,11.554638361397778,0.06228038620255764,3.7355473664777374,0.0628718136136004,0.028029619,0.26268455,-0.41942793,0.001673052,0.093877755,-0.07714652,-0.29151124,-0.3203848,0.17834024,-0.056522347,308,308,299,9,27.454828,1586.638,0.17232172242550375,13.960130786338523,31,true,27.992208,1.662506447376445,0.009488625797426285,0.1323497,35,18,0.043375142,0,42,true,317,642584.7271440754,253.79080332957167,2531.9465,11.16854,37,373100.3573457953,352.27648511759287,1059.1123,11.421824,37,388582.05109807715,230.08272852461084,1688.8798,10.788213,1.1853416,0,0.6336117,0.25328445,0.38032722,,,0,,,,NOT_AVAILABLE,109.215122404558,1.2063558528925695,25.4819597545455,58.90127742707458,100001,6532.815,6345.0,6783.6304,,,,,,,200111,1.9091668,1.7705991,2.023864,5.9811387,5.814246,6.148031,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014649384806420736,,9,343.6571,60.92811
