dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,r20151003_oid,col1,col2
3.55E-04,1.63572E+18,Gaia DR2 2014635640908988928,2.01464E+18,657947166,2015.5,343.5929796,0.9661818,60.78930457,1.00555097,-0.450057401,1.029007851,-0.43737024,-0.895326741,2.273789302,-4.30258078,2.200800337,0.22139677,-0.1537647,-0.3838792,-0.27725026,0.14590059,-0.3142354,-0.5763878,-0.0657716,0.23135018,0.3921947,110,0,110,0,-1.0376042,90.06682,0,0,31,FALSE,0.027736533,1.471922245,0.235216687,0.21401164,13,10,2.4183073,0,16,FALSE,137,84.282295,0.910974326,92.518845,20.874025,10,30.57146743,5.959076568,5.1302357,21.638098,14,137.1846692,8.939154418,15.346493,19.418655,1.9904078,0,2.2194424,0.7640724,1.45537,,,0,,,,NOT_AVAILABLE,109.1265564,1.09458576,25.24266274,58.8303904,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014635640908988928,,21,343.5923,60.78943
4.17E-04,1.63572E+18,Gaia DR2 2014635606547677568,2.01464E+18,1416533849,2015.5,343.6322708,0.33961023,60.79337519,0.325785717,0.52054147,0.418220445,1.2446581,-1.63205718,0.743571453,1.230563011,0.627491687,0.061688703,0.18815246,-0.10898756,0.020572882,0.1955646,-0.060536947,0.007583966,-0.17638421,0.26454177,0.15483417,264,0,262,2,3.0420656,331.53116,1.490041819,2.290556364,31,FALSE,0.07200584,1.281723682,0.098575403,0.08746522,31,18,0.6705254,0,34,FALSE,286,188.1208482,0.870523008,216.10095,20.002274,21,62.95903613,8.948404627,7.0357833,20.853743,26,319.1307114,10.89396189,29.294275,18.501999,2.0310867,0,2.3517437,0.85146904,1.5002747,,,0,,,,NOT_AVAILABLE,109.1455958,1.089912511,25.27348636,58.81900588,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014635606547677568,,24,343.6319,60.793
2.97E-04,1.63572E+18,Gaia DR2 2014636396823220736,2.01464E+18,1493449186,2015.5,343.5674145,1.168603227,60.79921444,1.721264212,-0.973292088,1.626702306,-0.5983222,-0.427062216,2.31993803,-0.969888821,2.748288582,0.41188005,0.4088438,-0.3423505,-0.21859457,0.6171322,-0.33714533,-0.3756442,-0.18394138,0.039475363,0.31364048,93,0,90,3,0.8269269,95.52169,2.167621672,0.765853822,31,FALSE,0.01947168,1.701792822,0.38663121,0.13651446,11,9,2.8000455,0,15,FALSE,111,80.75586266,0.98688192,81.82931,20.920431,0,,,,,2,155.8537465,29.77626839,5.23416,19.280127,,0,,,1.6403046,,,0,,,,NOT_AVAILABLE,109.1196391,1.108937912,25.24049996,58.84628264,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636396823220736,,31,343.5671,60.79896
5.42E-04,1.63572E+18,Gaia DR2 2014636396825560448,2.01464E+18,228033186,2015.5,343.5788533,0.683223084,60.80330846,0.958419693,0.815484791,0.748206373,1.0899196,-2.537169468,1.43419288,0.72218533,2.053547551,0.25998184,0.16947608,-0.45045325,-0.18809634,-0.117762424,-0.28864798,-0.7336654,0.098321125,0.31505355,0.35201207,154,0,153,1,1.408039,172.83023,0.848057525,0.229076707,31,FALSE,0.03554448,1.208171564,0.186240502,0.33867416,18,12,2.039171,0,20,FALSE,172,101.614051,0.898297365,113.1185,20.67098,4,87.2146913,1.805365406,48.30861,20.499914,6,366.7088837,53.1515752,6.8993044,18.351116,4.467134,0,2.148798,-0.17106628,2.3198643,,,0,,,,NOT_AVAILABLE,109.1264466,1.110193524,25.25362075,58.8449321,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636396825560448,,39,343.5788,60.80385
3.65E-04,1.63572E+18,Gaia DR2 2014636396825357824,2.01464E+18,966509047,2015.5,343.5780523,0.026936429,60.80387046,0.027757799,0.264054399,0.032193534,8.202094,-2.731826238,0.054493051,-1.790211999,0.052376019,0.015627714,0.22802594,-0.30907017,-0.1382476,0.15134537,-0.1875361,-0.018299002,-0.18750714,0.1062287,0.023079604,278,0,278,0,3.0562227,350.03424,0.142012032,2.112661892,31,FALSE,10.412208,1.369758864,0.007576499,0.11440867,32,18,0.059144694,0,36,FALSE,269,10568.24103,22.02000949,479.93808,15.628359,30,2826.684428,15.95377425,177.17967,16.723194,30,12546.65923,154.6688845,81.11948,14.5156,1.4546739,0,2.207594,1.0948353,1.1127586,,,0,,,,NOT_AVAILABLE,109.1263395,1.110869581,25.25391187,58.84559981,100001,3665.3333,3517,4127.5,1.9977,1.8869,2.1954,0.992,0.9253,1.0679,200111,8.780639,6.924348,9.536924,12.537208,8.889575,16.18484,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636396825357824,,39,343.5788,60.80385
1.54E-04,1.63572E+18,Gaia DR2 2014636465542698752,2.01464E+18,1216089862,2015.5,343.5746557,0.744238384,60.80744167,0.844317617,0.360825918,0.851899669,0.42355448,-1.557798488,1.578118965,-2.389970074,1.693998077,0.16655892,0.23579763,-0.35232833,-0.09884818,-0.13128337,-0.17358182,-0.37470683,0.011520288,0.26008987,0.26340187,153,0,153,0,2.5770497,196.10672,2.233457931,1.128397991,31,FALSE,0.025753424,1.224133691,0.251137994,0.3971633,18,13,1.6728265,0,20,FALSE,164,91.27675501,1.084295067,84.18073,20.787466,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,109.1264029,1.114805879,25.25684065,58.84923338,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636465542698752,,46,343.5749,60.80754
5.47E-04,1.63572E+18,Gaia DR2 2014636465541082240,2.01464E+18,1265141191,2015.5,343.5737942,0.204986575,60.80763006,0.180400546,0.515183589,0.223230615,2.3078537,1.583383358,0.418571305,-2.648939366,0.361355005,0.19458956,0.2664654,-0.40045148,-0.14407106,0.12038342,-0.21672228,-0.16989125,-0.15181664,0.24516702,0.27108082,262,0,260,2,1.1519988,281.19836,0.296301708,0.244499877,31,FALSE,0.24577637,1.387282653,0.054773958,0.13661532,30,18,0.40706804,0,34,FALSE,277,392.837818,1.03446087,379.75125,19.202833,28,123.4156109,9.374130016,13.165553,20.122963,28,748.4747964,22.52361473,33.23067,17.576477,2.2194667,0,2.546486,0.9201298,1.6263561,,,0,,,,NOT_AVAILABLE,109.1261066,1.115158442,25.25656073,58.84967054,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636465541082240,,46,343.5749,60.80754
2.01E-04,1.63572E+18,Gaia DR2 2014636396823449216,2.01464E+18,475124220,2015.5,343.578425,0.873602776,60.80807549,0.867293724,0.576262992,1.013517687,0.5685772,1.397403524,2.138147351,-6.956219311,2.11340581,-0.06389126,0.12643625,-0.08410234,-0.2197609,-0.14505677,-0.2918358,-0.20106837,0.07048509,0.30480883,-0.030670634,118,0,118,0,2.708604,157.97113,2.621979196,1.78058946,31,FALSE,0.025859559,1.07590388,0.237570296,0.1564596,14,12,1.8990126,0,15,FALSE,126,95.38568274,0.999202707,95.46179,20.739658,8,88.77823342,13.50982411,6.5713835,20.480621,7,251.9122753,19.89663166,12.661052,18.758797,3.5717154,0,1.7218246,-0.25903702,1.9808617,,,0,,,,NOT_AVAILABLE,109.1283342,1.114576028,25.26014417,58.84830541,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636396823449216,,48,343.5788,60.80816
5.32E-04,1.63572E+18,Gaia DR2 2014636396821612416,2.01464E+18,642913437,2015.5,343.5816053,0.1815515,60.80853559,0.192376355,-0.244487963,0.21551972,-1.1344111,-2.314444416,0.404099829,-1.755401985,0.405372542,0.024189161,0.13325463,-0.17344514,-0.2016672,0.115418814,-0.24582316,-0.10268647,-0.14977658,0.116987,-0.029506337,276,0,275,1,3.7465036,365.93658,0.804160087,1.925323697,31,FALSE,0.22817974,1.266401451,0.051612887,-0.01272339,32,19,0.3643981,0,35,FALSE,288,442.9676782,1.259611919,351.66995,19.072435,31,95.37390242,8.302497382,11.487375,20.402815,29,858.0520621,24.25088999,35.38229,17.428137,2.1523602,0,2.974678,1.3303795,1.6442986,,,0,,,,NOT_AVAILABLE,109.1299313,1.114314954,25.26282494,58.84747203,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636396821612416,,50,343.5824,60.8089
5.43E-05,1.63572E+18,Gaia DR2 2014636426887241984,2.01464E+18,1297872355,2015.5,343.6040419,0.241304567,60.81101967,0.24284815,-0.035126145,0.30115931,-0.116636425,-2.384785652,0.53234277,-2.085239176,0.487215279,0.15161794,-0.019974206,-0.27238885,-0.23077409,0.11602911,-0.26231962,-0.15433241,-0.11522392,0.37159705,0.25857815,258,0,254,4,1.5032834,283.349,0.823784023,1.412393056,31,FALSE,0.14972709,1.371861352,0.066176452,0.007027713,30,17,0.5189523,0,34,FALSE,281,308.77832,0.972872863,317.38815,19.464249,20,83.80630565,8.735644577,9.593603,20.543196,18,478.4481645,11.12245981,43.0164,18.062332,1.8209001,0,2.4808636,1.0789471,1.4019165,,,0,,,,NOT_AVAILABLE,109.1408664,1.111789551,25.28064916,58.84107893,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636426887241984,,53,343.604,60.81107
